,track_id,artist_name,track_name,artist_genres,lyrics,track_loudness
0,1KGnU9EowxHQxmQJzGGpDv,Ziak,Démonstration,"['drill francais', 'french hip hop', 'pop urbaine']","Fou rires devant les chiffres (chiffres), mais personne a tapé de ballon
J'passe mon temps à les - et j'passe la nuit sur le balcon
J'sens plus l'effet du shit (shit), j'sens toujours les bons plavons
J'pense qu'à placer ma petite mif pas loin du petit lagon
Semi-automatique, (l'arti') l'artisan a scié le canon
Le-le poto à ramener le goût et la fimbi a chauffé le charbon
Maman a bien nourri le petit (petit, petit)
Le petit a touché le plafond
J'ai vendu à Neuilly, vendu à Bastille, vendu à Nation
Pa-pa-pas d'compétition

Album sorti, démonstration
Album doré, démonstration
Album platine, démonstration
Ils ont voulu toucher l'Z (Z-Z)
Msaken, ils ont touché l'fond
Pour nous tout est sten, la partie est finie, y'a pas d'prolongation
Tout est carré, tu pètes ta tête (ta tête)
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-11.994
1,4nxL8cKVA2ZE1RWI4LfbBi,MiyaGi,Самурай,"['russian gangster rap', 'russian hip hop', 'russian reggae']","Она пела мне песни про лето
Меняла меня — меланхолика
Светом была для пирата комета, летящая вдаль
Умирали забытые кем-то
И трепетом ветра окутала разум
И я очарованный дикими пазлами гетто
Сам наломал тех дров, а художник слепо рисует сюжеты

Широко шагали ноги, май, май, май
На тебя налюбоваться дай
Зажигай мой рай, залипай-пай-пай
Сакура плакала, самурай
Зарубил собак, дабы лай, лай, лай
Не нарушил сон, не покоцал вайб
Берегу покой, понимай-май-май
Я твой-ой-ой-ой

Я грезил тобою, мадам, если бы только видела
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-10.892
2,6MnIihlE03sTEYFlb5lZvN,MiyaGi & Endspiel,No Reason,"['estonian hip hop', 'russian hip hop', 'russian trap', 'uzbek pop']",,-7.461
3,1KGnU9EowxHQxmQJzGGpDv,Ziak,Démonstration,"['drill francais', 'french hip hop', 'pop urbaine']","Fou rires devant les chiffres (chiffres), mais personne a tapé de ballon
J'passe mon temps à les - et j'passe la nuit sur le balcon
J'sens plus l'effet du shit (shit), j'sens toujours les bons plavons
J'pense qu'à placer ma petite mif pas loin du petit lagon
Semi-automatique, (l'arti') l'artisan a scié le canon
Le-le poto à ramener le goût et la fimbi a chauffé le charbon
Maman a bien nourri le petit (petit, petit)
Le petit a touché le plafond
J'ai vendu à Neuilly, vendu à Bastille, vendu à Nation
Pa-pa-pas d'compétition

Album sorti, démonstration
Album doré, démonstration
Album platine, démonstration
Ils ont voulu toucher l'Z (Z-Z)
Msaken, ils ont touché l'fond
Pour nous tout est sten, la partie est finie, y'a pas d'prolongation
Tout est carré, tu pètes ta tête (ta tête)
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-11.994
4,5qhn8UtqkjcBtkiSFYTyDA,Stou,Mc 7amema Amal - م س حمامه أمل,['rap tunisien'],,-11.734
5,0obUg8Rzmc83QbZxVi675a,Kaso,أسلوب حر ٤,['rap tunisien'],,-7.802
6,3c2z1HWhSYSWHgb0dxgKgk,Naqqa,Chera3 Ghana,['rap tunisien'],,-7.505
7,6nCOTJDYICf2nzjnjVbKHg,Linko,Amena,['rap tunisien'],,-9.259
8,43CFtwrMsxkrrBcNFhi1Fv,Esserpent,Gang,['rap tunisien'],,-9.022
9,1TTg8aTqkCxmBuLZrLpRYX,RedStar,Intro,['rap tunisien'],,-10.316
